
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002247                       # Number of seconds simulated (Second)
simTicks                                   2246972000                       # Number of ticks simulated (Tick)
finalTick                                  2246972000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     17.84                       # Real time elapsed on the host (Second)
hostTickRate                                125937685                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     781280                       # Number of bytes of host memory used (Byte)
simInsts                                      2145157                       # Number of instructions simulated (Count)
simOps                                        3757408                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   120230                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     210593                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu1.numCycles                         2221956                       # Number of cpu cycles simulated (Cycle)
system.cpu1.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu1.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu1.instsAdded                        4756949                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu1.nonSpecInstsAdded                    1953                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu1.instsIssued                       4372321                       # Number of instructions issued (Count)
system.cpu1.squashedInstsIssued                  3019                       # Number of squashed instructions issued (Count)
system.cpu1.squashedInstsExamined             1038178                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu1.squashedOperandsExamined          1630534                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu1.squashedNonSpecRemoved                249                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu1.numIssuedDist::samples            2111412                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::mean              2.070804                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::stdev             2.343975                       # Number of insts issued each cycle
system.cpu2.commit.committedInstType_0::SimdReduceAlu            0      0.00%     78.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdReduceCmp            0      0.00%     78.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     78.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     78.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdAes            0      0.00%     78.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdAesMix            0      0.00%     78.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdSha1Hash            0      0.00%     78.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     78.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdSha256Hash            0      0.00%     78.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     78.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdShaSigma2            0      0.00%     78.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdShaSigma3            0      0.00%     78.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdPredAlu            0      0.00%     78.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::MemRead         4600     12.54%     90.53% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::MemWrite         2500      6.81%     97.35% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::FloatMemRead          509      1.39%     98.74% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::FloatMemWrite          464      1.26%    100.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::IprAccess            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::InstPrefetch            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::total        36690                       # Class of committed instruction (Count)
system.cpu2.commit.commitEligibleSamples         1570                       # number cycles where commit BW limit reached (Cycle)
system.cpu2.dcache.demandHits::cpu2.data         8755                       # number of demand (read+write) hits (Count)
system.cpu2.dcache.demandHits::total             8755                       # number of demand (read+write) hits (Count)
system.cpu2.dcache.overallHits::cpu2.data         8755                       # number of overall hits (Count)
system.cpu2.dcache.overallHits::total            8755                       # number of overall hits (Count)
system.cpu2.dcache.demandMisses::cpu2.data          709                       # number of demand (read+write) misses (Count)
system.cpu2.dcache.demandMisses::total            709                       # number of demand (read+write) misses (Count)
system.cpu2.dcache.overallMisses::cpu2.data          709                       # number of overall misses (Count)
system.cpu2.dcache.overallMisses::total           709                       # number of overall misses (Count)
system.cpu2.dcache.demandMissLatency::cpu2.data     44716999                       # number of demand (read+write) miss ticks (Tick)
system.cpu2.dcache.demandMissLatency::total     44716999                       # number of demand (read+write) miss ticks (Tick)
system.cpu2.dcache.overallMissLatency::cpu2.data     44716999                       # number of overall miss ticks (Tick)
system.cpu2.dcache.overallMissLatency::total     44716999                       # number of overall miss ticks (Tick)
system.cpu2.dcache.demandAccesses::cpu2.data         9464                       # number of demand (read+write) accesses (Count)
system.cpu2.dcache.demandAccesses::total         9464                       # number of demand (read+write) accesses (Count)
system.cpu2.dcache.overallAccesses::cpu2.data         9464                       # number of overall (read+write) accesses (Count)
system.cpu2.dcache.overallAccesses::total         9464                       # number of overall (read+write) accesses (Count)
system.cpu2.dcache.demandMissRate::cpu2.data     0.074915                       # miss rate for demand accesses (Ratio)
system.cpu2.dcache.demandMissRate::total     0.074915                       # miss rate for demand accesses (Ratio)
system.cpu2.dcache.overallMissRate::cpu2.data     0.074915                       # miss rate for overall accesses (Ratio)
system.cpu2.dcache.overallMissRate::total     0.074915                       # miss rate for overall accesses (Ratio)
system.cpu2.dcache.demandAvgMissLatency::cpu2.data 63070.520451                       # average overall miss latency ((Cycle/Count))
system.cpu2.dcache.demandAvgMissLatency::total 63070.520451                       # average overall miss latency ((Cycle/Count))
system.cpu2.dcache.overallAvgMissLatency::cpu2.data 63070.520451                       # average overall miss latency ((Cycle/Count))
system.cpu2.dcache.overallAvgMissLatency::total 63070.520451                       # average overall miss latency ((Cycle/Count))
system.cpu2.dcache.blockedCycles::no_mshrs          287                       # number of cycles access was blocked (Cycle)
system.cpu2.dcache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu2.dcache.blockedCauses::no_mshrs           26                       # number of times access was blocked (Count)
system.cpu2.dcache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu2.dcache.avgBlocked::no_mshrs     11.038462                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu2.dcache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu2.dcache.writebacks::writebacks           18                       # number of writebacks (Count)
system.cpu2.dcache.writebacks::total               18                       # number of writebacks (Count)
system.cpu2.dcache.demandMshrHits::cpu2.data          211                       # number of demand (read+write) MSHR hits (Count)
system.cpu2.dcache.demandMshrHits::total          211                       # number of demand (read+write) MSHR hits (Count)
system.cpu2.dcache.overallMshrHits::cpu2.data          211                       # number of overall MSHR hits (Count)
system.cpu2.dcache.overallMshrHits::total          211                       # number of overall MSHR hits (Count)
system.cpu2.dcache.demandMshrMisses::cpu2.data          498                       # number of demand (read+write) MSHR misses (Count)
system.cpu2.dcache.demandMshrMisses::total          498                       # number of demand (read+write) MSHR misses (Count)
system.cpu2.dcache.overallMshrMisses::cpu2.data          498                       # number of overall MSHR misses (Count)
system.cpu2.dcache.overallMshrMisses::total          498                       # number of overall MSHR misses (Count)
system.cpu2.dcache.demandMshrMissLatency::cpu2.data     31271999                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu2.dcache.demandMshrMissLatency::total     31271999                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu2.dcache.overallMshrMissLatency::cpu2.data     31271999                       # number of overall MSHR miss ticks (Tick)
system.cpu2.dcache.overallMshrMissLatency::total     31271999                       # number of overall MSHR miss ticks (Tick)
system.cpu2.dcache.demandMshrMissRate::cpu2.data     0.052620                       # mshr miss ratio for demand accesses (Ratio)
system.cpu2.dcache.demandMshrMissRate::total     0.052620                       # mshr miss ratio for demand accesses (Ratio)
system.cpu2.dcache.overallMshrMissRate::cpu2.data     0.052620                       # mshr miss ratio for overall accesses (Ratio)
system.cpu2.dcache.overallMshrMissRate::total     0.052620                       # mshr miss ratio for overall accesses (Ratio)
system.cpu2.dcache.demandAvgMshrMissLatency::cpu2.data 62795.178715                       # average overall mshr miss latency ((Cycle/Count))
system.cpu2.dcache.demandAvgMshrMissLatency::total 62795.178715                       # average overall mshr miss latency ((Cycle/Count))
system.cpu2.dcache.overallAvgMshrMissLatency::cpu2.data 62795.178715                       # average overall mshr miss latency ((Cycle/Count))
system.cpu2.dcache.overallAvgMshrMissLatency::total 62795.178715                       # average overall mshr miss latency ((Cycle/Count))
system.cpu2.dcache.replacements                    45                       # number of replacements (Count)
system.cpu2.dcache.ReadReq.hits::cpu2.data         5964                       # number of ReadReq hits (Count)
system.cpu2.dcache.ReadReq.hits::total           5964                       # number of ReadReq hits (Count)
system.cpu2.dcache.ReadReq.misses::cpu2.data          536                       # number of ReadReq misses (Count)
system.cpu2.dcache.ReadReq.misses::total          536                       # number of ReadReq misses (Count)
system.cpu2.dcache.ReadReq.missLatency::cpu2.data     29773000                       # number of ReadReq miss ticks (Tick)
system.cpu2.dcache.ReadReq.missLatency::total     29773000                       # number of ReadReq miss ticks (Tick)
system.cpu2.dcache.ReadReq.accesses::cpu2.data         6500                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu2.dcache.ReadReq.accesses::total         6500                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu2.dcache.ReadReq.missRate::cpu2.data     0.082462                       # miss rate for ReadReq accesses (Ratio)
system.cpu2.dcache.ReadReq.missRate::total     0.082462                       # miss rate for ReadReq accesses (Ratio)
system.cpu2.dcache.ReadReq.avgMissLatency::cpu2.data 55546.641791                       # average ReadReq miss latency ((Tick/Count))
system.cpu2.dcache.ReadReq.avgMissLatency::total 55546.641791                       # average ReadReq miss latency ((Tick/Count))
system.cpu2.dcache.ReadReq.mshrHits::cpu2.data          210                       # number of ReadReq MSHR hits (Count)
system.cpu2.dcache.ReadReq.mshrHits::total          210                       # number of ReadReq MSHR hits (Count)
system.cpu2.dcache.ReadReq.mshrMisses::cpu2.data          326                       # number of ReadReq MSHR misses (Count)
system.cpu2.dcache.ReadReq.mshrMisses::total          326                       # number of ReadReq MSHR misses (Count)
system.cpu2.dcache.ReadReq.mshrMissLatency::cpu2.data     16681000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu2.dcache.ReadReq.mshrMissLatency::total     16681000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu2.dcache.ReadReq.mshrMissRate::cpu2.data     0.050154                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu2.dcache.ReadReq.mshrMissRate::total     0.050154                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu2.dcache.ReadReq.avgMshrMissLatency::cpu2.data 51168.711656                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu2.dcache.ReadReq.avgMshrMissLatency::total 51168.711656                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu2.dcache.WriteReq.hits::cpu2.data         2791                       # number of WriteReq hits (Count)
system.cpu2.dcache.WriteReq.hits::total          2791                       # number of WriteReq hits (Count)
system.cpu2.dcache.WriteReq.misses::cpu2.data          173                       # number of WriteReq misses (Count)
system.cpu2.dcache.WriteReq.misses::total          173                       # number of WriteReq misses (Count)
system.cpu2.dcache.WriteReq.missLatency::cpu2.data     14943999                       # number of WriteReq miss ticks (Tick)
system.cpu2.dcache.WriteReq.missLatency::total     14943999                       # number of WriteReq miss ticks (Tick)
system.cpu2.dcache.WriteReq.accesses::cpu2.data         2964                       # number of WriteReq accesses(hits+misses) (Count)
system.cpu2.dcache.WriteReq.accesses::total         2964                       # number of WriteReq accesses(hits+misses) (Count)
system.cpu2.dcache.WriteReq.missRate::cpu2.data     0.058367                       # miss rate for WriteReq accesses (Ratio)
system.cpu2.dcache.WriteReq.missRate::total     0.058367                       # miss rate for WriteReq accesses (Ratio)
system.cpu2.dcache.WriteReq.avgMissLatency::cpu2.data 86381.497110                       # average WriteReq miss latency ((Tick/Count))
system.cpu2.dcache.WriteReq.avgMissLatency::total 86381.497110                       # average WriteReq miss latency ((Tick/Count))
system.cpu2.dcache.WriteReq.mshrHits::cpu2.data            1                       # number of WriteReq MSHR hits (Count)
system.cpu2.dcache.WriteReq.mshrHits::total            1                       # number of WriteReq MSHR hits (Count)
system.cpu2.dcache.WriteReq.mshrMisses::cpu2.data          172                       # number of WriteReq MSHR misses (Count)
system.cpu2.dcache.WriteReq.mshrMisses::total          172                       # number of WriteReq MSHR misses (Count)
system.cpu2.dcache.WriteReq.mshrMissLatency::cpu2.data     14590999                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu2.dcache.WriteReq.mshrMissLatency::total     14590999                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu2.dcache.WriteReq.mshrMissRate::cpu2.data     0.058030                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu2.dcache.WriteReq.mshrMissRate::total     0.058030                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu2.dcache.WriteReq.avgMshrMissLatency::cpu2.data 84831.389535                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu2.dcache.WriteReq.avgMshrMissLatency::total 84831.389535                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu2.dcache.power_state.pwrStateResidencyTicks::UNDEFINED   2246972000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu2.dcache.tags.tagsInUse          142.699816                       # Average ticks per tags in use ((Tick/Count))
system.cpu2.dcache.tags.totalRefs                9254                       # Total number of references to valid blocks. (Count)
system.cpu2.dcache.tags.sampledRefs               480                       # Sample count of references to valid blocks. (Count)
system.cpu2.dcache.tags.avgRefs             19.279167                       # Average number of references to valid blocks. ((Count/Count))
system.cpu2.dcache.tags.warmupTick             234000                       # The tick when the warmup percentage was hit. (Tick)
system.cpu2.dcache.tags.occupancies::cpu2.data   142.699816                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu2.dcache.tags.avgOccs::cpu2.data     0.139355                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu2.dcache.tags.avgOccs::total       0.139355                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu2.dcache.tags.occupanciesTaskId::1024          415                       # Occupied blocks per task id (Count)
system.cpu2.dcache.tags.ageTaskId_1024::1          307                       # Occupied blocks per task id, per block age (Count)
system.cpu2.dcache.tags.ageTaskId_1024::3          108                       # Occupied blocks per task id, per block age (Count)
system.cpu2.dcache.tags.ratioOccsTaskId::1024     0.405273                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu2.dcache.tags.tagAccesses             19408                       # Number of tag accesses (Count)
system.cpu2.dcache.tags.dataAccesses            19408                       # Number of data accesses (Count)
system.cpu2.dcache.tags.power_state.pwrStateResidencyTicks::UNDEFINED   2246972000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu2.decode.idleCycles                   20318                       # Number of cycles decode is idle (Cycle)
system.cpu2.decode.blockedCycles                16058                       # Number of cycles decode is blocked (Cycle)
system.cpu2.decode.runCycles                     9286                       # Number of cycles decode is running (Cycle)
system.cpu2.decode.unblockCycles                 1129                       # Number of cycles decode is unblocking (Cycle)
system.cpu2.decode.squashCycles                   818                       # Number of cycles decode is squashing (Cycle)
system.cpu2.decode.branchResolved                2422                       # Number of times decode resolved a branch (Count)
system.cpu2.decode.branchMispred                  397                       # Number of times decode detected a branch misprediction (Count)
system.cpu2.decode.decodedInsts                 69820                       # Number of instructions handled by decode (Count)
system.cpu2.decode.squashedInsts                 1979                       # Number of squashed instructions handled by decode (Count)
system.cpu2.fetch.icacheStallCycles             22278                       # Number of cycles fetch is stalled on an Icache miss (Cycle)
system.cpu2.fetch.insts                         39853                       # Number of instructions fetch has processed (Count)
system.cpu2.fetch.branches                       8431                       # Number of branches that fetch encountered (Count)
system.cpu2.fetch.predictedBranches              2959                       # Number of branches that fetch has predicted taken (Count)
system.cpu2.fetch.cycles                        23528                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu2.fetch.squashCycles                   2416                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu2.fetch.miscStallCycles                  62                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu2.fetch.pendingTrapStallCycles          458                       # Number of stall cycles due to pending traps (Cycle)
system.cpu2.fetch.pendingQuiesceStallCycles           21                       # Number of stall cycles due to pending quiesce instructions (Cycle)
system.cpu2.fetch.icacheWaitRetryStallCycles           54                       # Number of stall cycles due to full MSHR (Cycle)
system.cpu2.fetch.cacheLines                     5023                       # Number of cache lines fetched (Count)
system.cpu2.fetch.icacheSquashes                  539                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu2.fetch.nisnDist::samples             47609                       # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.nisnDist::mean             1.633830                       # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.nisnDist::stdev            3.042229                       # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.nisnDist::underflows              0      0.00%      0.00% # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.nisnDist::0                   35791     75.18%     75.18% # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.nisnDist::1                     456      0.96%     76.13% # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.nisnDist::2                     537      1.13%     77.26% # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.nisnDist::3                     612      1.29%     78.55% # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.nisnDist::4                     839      1.76%     80.31% # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.nisnDist::5                     615      1.29%     81.60% # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.nisnDist::6                     740      1.55%     83.16% # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.nisnDist::7                     604      1.27%     84.43% # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.nisnDist::8                    7415     15.57%    100.00% # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.nisnDist::overflows               0      0.00%    100.00% # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.nisnDist::min_value               0                       # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.nisnDist::max_value               8                       # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.nisnDist::total               47609                       # Number of instructions fetched each cycle (Total)
system.cpu2.fetch.branchRate                 0.124269                       # Number of branch fetches per cycle (Ratio)
system.cpu2.fetch.rate                       0.587412                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu2.icache.demandHits::cpu2.inst         4105                       # number of demand (read+write) hits (Count)
system.cpu2.icache.demandHits::total             4105                       # number of demand (read+write) hits (Count)
system.cpu2.icache.overallHits::cpu2.inst         4105                       # number of overall hits (Count)
system.cpu2.icache.overallHits::total            4105                       # number of overall hits (Count)
system.cpu2.icache.demandMisses::cpu2.inst          918                       # number of demand (read+write) misses (Count)
system.cpu2.icache.demandMisses::total            918                       # number of demand (read+write) misses (Count)
system.cpu2.icache.overallMisses::cpu2.inst          918                       # number of overall misses (Count)
system.cpu2.icache.overallMisses::total           918                       # number of overall misses (Count)
system.cpu2.icache.demandMissLatency::cpu2.inst     65521999                       # number of demand (read+write) miss ticks (Tick)
system.cpu2.icache.demandMissLatency::total     65521999                       # number of demand (read+write) miss ticks (Tick)
system.cpu2.icache.overallMissLatency::cpu2.inst     65521999                       # number of overall miss ticks (Tick)
system.cpu2.icache.overallMissLatency::total     65521999                       # number of overall miss ticks (Tick)
system.cpu2.icache.demandAccesses::cpu2.inst         5023                       # number of demand (read+write) accesses (Count)
system.cpu2.icache.demandAccesses::total         5023                       # number of demand (read+write) accesses (Count)
system.cpu2.icache.overallAccesses::cpu2.inst         5023                       # number of overall (read+write) accesses (Count)
system.cpu2.icache.overallAccesses::total         5023                       # number of overall (read+write) accesses (Count)
system.cpu2.icache.demandMissRate::cpu2.inst     0.182759                       # miss rate for demand accesses (Ratio)
system.cpu2.icache.demandMissRate::total     0.182759                       # miss rate for demand accesses (Ratio)
system.cpu2.icache.overallMissRate::cpu2.inst     0.182759                       # miss rate for overall accesses (Ratio)
system.cpu2.icache.overallMissRate::total     0.182759                       # miss rate for overall accesses (Ratio)
system.cpu2.icache.demandAvgMissLatency::cpu2.inst 71374.726580                       # average overall miss latency ((Cycle/Count))
system.cpu2.icache.demandAvgMissLatency::total 71374.726580                       # average overall miss latency ((Cycle/Count))
system.cpu2.icache.overallAvgMissLatency::cpu2.inst 71374.726580                       # average overall miss latency ((Cycle/Count))
system.cpu2.icache.overallAvgMissLatency::total 71374.726580                       # average overall miss latency ((Cycle/Count))
system.cpu2.icache.blockedCycles::no_mshrs           92                       # number of cycles access was blocked (Cycle)
system.cpu2.icache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu2.icache.blockedCauses::no_mshrs            4                       # number of times access was blocked (Count)
system.cpu2.icache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu2.icache.avgBlocked::no_mshrs            23                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu2.icache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu2.icache.demandMshrHits::cpu2.inst          165                       # number of demand (read+write) MSHR hits (Count)
system.cpu2.icache.demandMshrHits::total          165                       # number of demand (read+write) MSHR hits (Count)
system.cpu2.icache.overallMshrHits::cpu2.inst          165                       # number of overall MSHR hits (Count)
system.cpu2.icache.overallMshrHits::total          165                       # number of overall MSHR hits (Count)
system.cpu2.icache.demandMshrMisses::cpu2.inst          753                       # number of demand (read+write) MSHR misses (Count)
system.cpu2.icache.demandMshrMisses::total          753                       # number of demand (read+write) MSHR misses (Count)
system.cpu2.icache.overallMshrMisses::cpu2.inst          753                       # number of overall MSHR misses (Count)
system.cpu2.icache.overallMshrMisses::total          753                       # number of overall MSHR misses (Count)
system.cpu2.icache.demandMshrMissLatency::cpu2.inst     54223000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu2.icache.demandMshrMissLatency::total     54223000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu2.icache.overallMshrMissLatency::cpu2.inst     54223000                       # number of overall MSHR miss ticks (Tick)
system.cpu2.icache.overallMshrMissLatency::total     54223000                       # number of overall MSHR miss ticks (Tick)
system.cpu2.icache.demandMshrMissRate::cpu2.inst     0.149910                       # mshr miss ratio for demand accesses (Ratio)
system.cpu2.icache.demandMshrMissRate::total     0.149910                       # mshr miss ratio for demand accesses (Ratio)
system.cpu2.icache.overallMshrMissRate::cpu2.inst     0.149910                       # mshr miss ratio for overall accesses (Ratio)
system.cpu2.icache.overallMshrMissRate::total     0.149910                       # mshr miss ratio for overall accesses (Ratio)
system.cpu2.icache.demandAvgMshrMissLatency::cpu2.inst 72009.296149                       # average overall mshr miss latency ((Cycle/Count))
system.cpu2.icache.demandAvgMshrMissLatency::total 72009.296149                       # average overall mshr miss latency ((Cycle/Count))
system.cpu2.icache.overallAvgMshrMissLatency::cpu2.inst 72009.296149                       # average overall mshr miss latency ((Cycle/Count))
system.cpu2.icache.overallAvgMshrMissLatency::total 72009.296149                       # average overall mshr miss latency ((Cycle/Count))
system.cpu2.icache.replacements                   502                       # number of replacements (Count)
system.cpu2.icache.ReadReq.hits::cpu2.inst         4105                       # number of ReadReq hits (Count)
system.cpu2.icache.ReadReq.hits::total           4105                       # number of ReadReq hits (Count)
system.cpu2.icache.ReadReq.misses::cpu2.inst          918                       # number of ReadReq misses (Count)
system.cpu2.icache.ReadReq.misses::total          918                       # number of ReadReq misses (Count)
system.cpu2.icache.ReadReq.missLatency::cpu2.inst     65521999                       # number of ReadReq miss ticks (Tick)
system.cpu2.icache.ReadReq.missLatency::total     65521999                       # number of ReadReq miss ticks (Tick)
system.cpu2.icache.ReadReq.accesses::cpu2.inst         5023                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu2.icache.ReadReq.accesses::total         5023                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu2.icache.ReadReq.missRate::cpu2.inst     0.182759                       # miss rate for ReadReq accesses (Ratio)
system.cpu2.icache.ReadReq.missRate::total     0.182759                       # miss rate for ReadReq accesses (Ratio)
system.cpu2.icache.ReadReq.avgMissLatency::cpu2.inst 71374.726580                       # average ReadReq miss latency ((Tick/Count))
system.cpu2.icache.ReadReq.avgMissLatency::total 71374.726580                       # average ReadReq miss latency ((Tick/Count))
system.cpu2.icache.ReadReq.mshrHits::cpu2.inst          165                       # number of ReadReq MSHR hits (Count)
system.cpu2.icache.ReadReq.mshrHits::total          165                       # number of ReadReq MSHR hits (Count)
system.cpu2.icache.ReadReq.mshrMisses::cpu2.inst          753                       # number of ReadReq MSHR misses (Count)
system.cpu2.icache.ReadReq.mshrMisses::total          753                       # number of ReadReq MSHR misses (Count)
system.cpu2.icache.ReadReq.mshrMissLatency::cpu2.inst     54223000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu2.icache.ReadReq.mshrMissLatency::total     54223000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu2.icache.ReadReq.mshrMissRate::cpu2.inst     0.149910                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu2.icache.ReadReq.mshrMissRate::total     0.149910                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu2.icache.ReadReq.avgMshrMissLatency::cpu2.inst 72009.296149                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu2.icache.ReadReq.avgMshrMissLatency::total 72009.296149                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu2.icache.power_state.pwrStateResidencyTicks::UNDEFINED   2246972000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu2.icache.tags.tagsInUse          192.288030                       # Average ticks per tags in use ((Tick/Count))
system.cpu2.icache.tags.totalRefs                4858                       # Total number of references to valid blocks. (Count)
system.cpu2.icache.tags.sampledRefs               753                       # Sample count of references to valid blocks. (Count)
system.cpu2.icache.tags.avgRefs              6.451527                       # Average number of references to valid blocks. ((Count/Count))
system.cpu2.icache.tags.warmupTick             114000                       # The tick when the warmup percentage was hit. (Tick)
system.cpu2.icache.tags.occupancies::cpu2.inst   192.288030                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu2.icache.tags.avgOccs::cpu2.inst     0.751125                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu2.icache.tags.avgOccs::total       0.751125                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu2.icache.tags.occupanciesTaskId::1024          251                       # Occupied blocks per task id (Count)
system.cpu2.icache.tags.ageTaskId_1024::1          229                       # Occupied blocks per task id, per block age (Count)
system.cpu2.icache.tags.ageTaskId_1024::3           22                       # Occupied blocks per task id, per block age (Count)
system.cpu2.icache.tags.ratioOccsTaskId::1024     0.980469                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu2.icache.tags.tagAccesses             10799                       # Number of tag accesses (Count)
system.cpu2.icache.tags.dataAccesses            10799                       # Number of data accesses (Count)
system.cpu2.icache.tags.power_state.pwrStateResidencyTicks::UNDEFINED   2246972000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu2.interrupts.clk_domain.clock         16000                       # Clock period in ticks (Tick)
system.cpu2.lsq0.forwLoads                        880                       # Number of loads that had data forwarded from stores (Count)
system.cpu2.lsq0.squashedLoads                   3289                       # Number of loads squashed (Count)
